,beer,style,region,manufacturer,brand,fermentation,alcohol,volume,img,price,ingredients,tastes,serve_with,name
Eggenberg-Samichlaus,"['Коричневое', 'Фильтрованное']","['Двойной Бок', 'Лагер', 'Немецкий Лагер']","['Австрия', 'Зальцбург']",Eggenberg,Samichlaus,['Низовое брожение'],Крепкий,0.33,../data/images/Eggenberg-Samichlaus.jpg,Дорогой,"['хмель', 'ячмень']","['фруктовый', 'специи/пряности', 'солод', 'богатый', 'долгий/продолжительный', 'сладковатый']","['десерты', 'дижестив', 'жирные блюда', 'шоколад']",Eggenberg Samichlaus
Lindemans-Cassis,['Красное'],"['Эль', 'Ламбик/Фруктовое', 'Бельгийский/Французский Эль']",['Бельгия'],Brouwerij Lindemans,Lindemans,['Натуральное брожение'],Легкий,0.25,../data/images/Lindemans-Cassis.jpg,Средний,"['ячмень', 'пшеница', 'фрукты']","['черная смородина', 'сухой', 'древесный', 'сладкий', 'сбалансированный', 'кислинка']","['аперитив', 'десерты', 'выпечка', 'шоколад', 'чизкейк', 'фруктовые салаты']",Brouwerij Lindemans Lindemans
Gralsburg-Weizen-in-can,"['Светлое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']","['Германия', 'Бавария']",Oettingen,Gralsburg,['Верховое брожение'],Средний,0.5,../data/images/Gralsburg-Weizen-in-can.jpg,Дешевый,"['хмель', 'пшеница', 'ячмень']","['фруктовый', 'пшеничный', 'освежающий']","['мясо', 'рыба', 'пицца', 'закуски', 'холодные закуски', 'горячие закуски']",Oettingen Gralsburg
St-Peter-s-Without-Original-Non-Alcoholic,"['Темное', 'Крафтовое', 'Фильтрованное']","['Эль', 'Английский Эль']",['Англия'],St. Peter's,St. Peter's,['Верховое брожение'],Легкий,0.5,../data/images/St-Peter-s-Without-Original-Non-Alcoholic.jpg,Средний,"['ячмень', 'хмель', 'рожь']","['солод', 'полный', 'богатый', 'приятный', 'сбалансированный', 'долгий/продолжительный', 'горьковатый', 'хмель']","['птица', 'красное мясо', 'сыры', 'закуски', 'овощи']",St. Peter's St. Peter's
Radeberger-Pilsner,"['Светлое', 'Фильтрованное']","['Немецкий Пилснер', 'Лагер', 'Немецкий Лагер']",['Германия'],Radeberger Gruppe,Radeberger,['Низовое брожение'],Средний,0.5,../data/images/Radeberger-Pilsner.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'дым/копченый', 'травы', 'цитрусовые', 'солод', 'сбалансированный', 'чистый', 'освежающий', 'сладковатый']","['птица', 'рыба', 'аперитив', 'сыры', 'японская кухня', 'немецкая кухня']",Radeberger Gruppe Radeberger
Palm-Non-alcohol,"['Средне-янтарное', 'Фильтрованное']","['Эль', 'Бельгийский Светлый Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Palm,Palm,['Верховое брожение'],Легкий,0.25,../data/images/Palm-Non-alcohol.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'сочный', 'банан', 'карамель', 'мягкий', 'пикантный', 'дрожжи']","['свинина', 'зрелые/выдержанные сыры', 'угорь']",Palm Palm
Klaster-Tmave,"['Темное', 'Фильтрованное']","['Лагер', 'Чешский Лагер', 'Чешский Темный Лагер']",['Чехия'],Pivovary Lobkowicz Group,Klaster,['Низовое брожение'],Средний,0.5,../data/images/Klaster-Tmave.jpg,Средний,"['хмель', 'ячмень']","['карамель', 'хлеб', 'полный', 'приятный', 'долгий/продолжительный', 'горьковатый', 'хмель']","['мясо', 'свинина', 'гриль', 'говядина', 'закуски', 'шашлык', 'копчености', 'колбасные изделия']",Pivovary Lobkowicz Group Klaster
Sinyaya-Boroda-Dubbel,"['Темное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Дубль/дюббель']","['Россия', 'Санкт-Петербург']",Василеостровская Пивоварня,Василеостровское,['Верховое брожение'],Средний,0.75,../data/images/Sinyaya-Boroda-Dubbel.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'карамель', 'сухофрукты', 'солод', 'насыщенный/интенсивный', 'сладковатый']","['птица', 'красное мясо', 'закуски', 'десерты', 'выпечка', 'шоколад']",Василеостровская Пивоварня Василеостровское
Leffe-Blonde-750,"['Светлое', 'Фильтрованное']","['Эль', 'Бельгийский Светлый Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Anheuser-Busch InBev,Leffe,['Верховое брожение'],Средний,0.75,../data/images/Leffe-Blonde-750.jpg,Средний,"['хмель', 'кукуруза', 'ячмень']","['фруктовый', 'специи/пряности', 'тосты', 'мед', 'сухой', 'апельсин', 'гвоздика', 'цедра', 'гладкий', 'изысканный/элегантный']","['мясо', 'ветчина', 'красное мясо', 'голубой сыр', 'сыр Brie']",Anheuser-Busch InBev Leffe
Samuel-Smith-s-Organic-Chocolate-Stout,['Очень тёмное'],"['Эль', 'Английский Эль', 'Английский Стаут']",['Великобритания'],Samuel Smith,Samuel Smith's,['Верховое брожение'],Средний,0.355,../data/images/Samuel-Smith-s-Organic-Chocolate-Stout.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'сливки', 'какао', 'солод', 'мягкий', 'приятный', 'долгий/продолжительный', 'глубокий']","['десерты', 'устрицы', 'твердые сыры', 'сливочный сыр', 'шоколад']",Samuel Smith Samuel Smith's
BrewDog-Elvis-Juice-in-can,"['Светлое', 'Крафтовое', 'Фильтрованное']","['Эль', 'Американский Эль', 'Американский ИПА']",['Шотландия'],BrewDog,BrewDog,['Верховое брожение'],Средний,0.33,../data/images/BrewDog-Elvis-Juice-in-can.jpg,Средний,"['хмель', 'ячмень', 'цитрусовые']","['цитрусовые', 'карамель', 'солод', 'богатый', 'горьковатый']","['рыба', 'свинина', 'мясо на гриле', 'мягкие сыры', 'жареный цыпленок', 'снэки']",BrewDog BrewDog
Bosteels-Pauwel-Kwak-750,"['Янтарное', 'Фильтрованное']","['Эль', 'Бельгийский Крепкий Светлый Эль', 'Бельгийский/Французский Эль']","['Бельгия', 'Фландрия']",Bosteels,Pauwel Kwak,['Верховое брожение'],Средний,0.75,../data/images/Bosteels-Pauwel-Kwak-750.jpg,Дорогой,,"['фруктовый', 'хлеб', 'солод', 'насыщенный/интенсивный']","['мясо', 'дичь', 'лосось/семга', 'аперитив', 'десерты', 'дижестив']",Bosteels Pauwel Kwak
Hasen-Brau-Weisser-Hase,"['Светлое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']","['Германия', 'Бавария']",Hasen-Brau,Hasen-Brau,['Верховое брожение'],Средний,0.5,../data/images/Hasen-Brau-Weisser-Hase.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['пряный/острый', 'банан', 'гвоздика', 'солод', 'насыщенный/интенсивный', 'освежающий', 'долгий/продолжительный', 'сладковатый', 'хмель']","['птица', 'морепродукты/дары моря', 'сыры', 'закуски', 'жареная рыба']",Hasen-Brau Hasen-Brau
Williams-Birds-Bees,"['Светлое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Биттер']",['Шотландия'],Williams Brothers,Birds & Bees,['Верховое брожение'],Средний,0.5,../data/images/Williams-Birds-Bees.jpg,Средний,"['ячмень', 'хмель', 'пшеница', 'фрукты']","['фруктовый', 'свежий', 'лимон', 'сбалансированный', 'цедра', 'хмель']","['сыры', 'закуски', 'снэки']",Williams Brothers Birds & Bees
Hasen-Brau-Augsburger-Original,"['Средне-светлое', 'Нефильтрованное']","['Лагер', 'Немецкий Лагер', 'Келлербир/Цвикельбир']","['Германия', 'Бавария']",Hasen-Brau,Hasen-Brau,['Низовое брожение'],Средний,0.5,../data/images/Hasen-Brau-Augsburger-Original.jpg,Средний,"['ячмень', 'хмель']","['пряный/острый', 'солод', 'приятный', 'долгий/продолжительный', 'сладковатый', 'хмель']","['белое мясо', 'морепродукты/дары моря', 'сыры', 'закуски', 'жареная рыба']",Hasen-Brau Hasen-Brau
Hofbrau-Original,"['Светлое', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Мюнхенский Яркий/Светлый Лагер']","['Германия', 'Бавария']",Hofbrau Munchen,Hofbrau,['Низовое брожение'],Средний,0.5,../data/images/Hofbrau-Original.jpg,Средний,"['ячмень', 'хмель']","['свежий', 'лимон', 'мед', 'сухой', 'трава', 'корица', 'плотный', 'сладости', 'солод', 'приятный', 'долгий/продолжительный', 'цедра', 'гладкий']","['мясо', 'рыба', 'аперитив', 'морепродукты/дары моря', 'салат', 'сыры', 'закуски', 'овощи']",Hofbrau Munchen Hofbrau
Schneider-Weisse-TAP-06-Unser-Aventinus,"['Темное', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Пшеничный бок']",['Германия'],G. Schneider & Sohn,Schneider Weisse,['Верховое брожение'],Средний,0.5,../data/images/Schneider-Weisse-TAP-06-Unser-Aventinus.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['вишня', 'банан', 'карамель', 'хлеб', 'изюм', 'богатый', 'сбалансированный', 'сливочный', 'гладкий']","['мясо', 'жареное мясо', 'десерты', 'оленина', 'сыр с плесенью', 'голубой сыр', 'шоколад', 'печенье', 'фруктовый десерт']",G. Schneider & Sohn Schneider Weisse
St-Peter-s-Plum-Porter,"['Очень тёмное', 'Крафтовое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Портер']",['Англия'],St. Peter's,St. Peter's,['Верховое брожение'],Средний,0.5,../data/images/St-Peter-s-Plum-Porter.jpg,Средний,"['ячмень', 'хмель', 'фрукты']","['фруктовый', 'шоколад', 'слива', 'черная смородина', 'сухой', 'сладкий', 'полный', 'горьковатый']","['сыры', 'закуски', 'десерты', 'овощи', 'шоколад']",St. Peter's St. Peter's
Weihenstephan-Hefeweissbier-Dunkel,"['Темное', 'Нефильтрованное']","['Эль', 'Темное Пшеничное', 'Немецкий Эль']","['Германия', 'Бавария']",Weihenstephan,Weihenstephan,['Верховое брожение'],Средний,0.5,../data/images/Weihenstephan-Hefeweissbier-Dunkel.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['карамель', 'гвоздика', 'богатый', 'насыщенный/интенсивный', 'сладковатый']","['дичь', 'десерты', 'сытные блюда', 'шоколад', 'орехи', 'мясо диких животных']",Weihenstephan Weihenstephan
Delirium-Nocturnum-750,"['Темное', 'Фильтрованное']","['Эль', 'Бельгийский Крепкий Темный Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Huyghe,Delirium,['Верховое брожение'],Средний,0.75,../data/images/Delirium-Nocturnum-750.jpg,Дорогой,"['ячмень', 'хмель']","['пряный/острый', 'насыщенный/интенсивный', 'долгий/продолжительный', 'горьковатый', 'теплый']","['мясо', 'сыры', 'говядина', 'барбекю', 'мясо на гриле']",Huyghe Delirium
Williams-Fraoch-Heather-Ale,"['Янтарное', 'Фильтрованное']","['Эль', 'Шотландский Эль', 'Шотландский Грюйт/Старинный Травяной Эль']",['Шотландия'],Williams Brothers,Fraoch,['Верховое брожение'],Средний,0.5,../data/images/Williams-Fraoch-Heather-Ale.jpg,Средний,"['травы', 'пшеница', 'ячмень', 'хмель']","['специи/пряности', 'травы', 'мята', 'солод', 'приятный', 'сбалансированный', 'гладкий']","['птица', 'дичь', 'салат', 'красное мясо']",Williams Brothers Fraoch
Aktien-Zwick-l-Kellerbier,"['Янтарное', 'Нефильтрованное']","['Лагер', 'Немецкий Лагер', 'Келлербир/Цвикельбир']","['Германия', 'Бавария']",Bayreuther,Aktien,['Низовое брожение'],Средний,0.5,../data/images/Aktien-Zwick-l-Kellerbier.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'специи/пряности', 'груша', 'яблоки', 'сухофрукты', 'хлеб', 'солод', 'долгий/продолжительный', 'гладкий']","['закуски', 'колбасные изделия', 'немецкая кухня']",Bayreuther Aktien
Spaten-Munchen-Hell-in-can,"['Светлое', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Мюнхенский Яркий/Светлый Лагер']","['Германия', 'Бавария', 'Мюнхен']",Spaten,Spaten,['Низовое брожение'],Средний,0.5,../data/images/Spaten-Munchen-Hell-in-can.jpg,Дешевый,"['хмель', 'ячмень']","['свежий', 'лимон', 'сухой', 'бисквит', 'земляной', 'солод', 'полный', 'гладкий']","['мясо', 'рыба', 'белое мясо', 'свинина', 'салат', 'красное мясо', 'сыры', 'моллюски', 'немецкая кухня']",Spaten Spaten
Egger-Grapefruit-Radler-in-can,"['Светлое', 'Фильтрованное']","['Смешанный', 'Фруктовое/Овощное']",['Австрия'],Fritz Egger,Egger,['Низовое брожение'],Легкий,0.5,../data/images/Egger-Grapefruit-Radler-in-can.jpg,Дешевый,"['ячмень', 'хмель', 'фрукты']","['лимон', 'грейпфрут', 'трава', 'освежающий', 'ячмень', 'бодрящий', 'горьковатый']","['аперитив', 'закуски']",Fritz Egger Egger
Triporteur-Full-Moon-12,"['Коричневое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Квадрупель']",['Бельгия'],BOMBrewery,Triporteur,['Верховое брожение'],Крепкий,0.33,../data/images/Triporteur-Full-Moon-12.jpg,Средний,"['ячмень', 'хмель']","['кола', 'карамель', 'солод', 'сладковатый']","['аперитив', 'десерты', 'дижестив', 'шоколад']",BOMBrewery Triporteur
Carlow-O-Hara-s-Leann-Follain,"['Чёрное', 'Фильтрованное']","['Эль', 'Ирландский Эль', 'Ирландский Сухой Стаут']",['Ирландия'],Carlow,O'Hara's,['Верховое брожение'],Средний,0.5,../data/images/Carlow-O-Hara-s-Leann-Follain.jpg,Средний,"['хмель', 'ячмень']","['шоколад', 'дым/копченый', 'кофе', 'солод', 'полный', 'богатый', 'долгий/продолжительный']","['мясо', 'сыры', 'десерты', 'шоколад']",Carlow O'Hara's
Zotler-Hefeweizen-Hell,"['Светлое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']","['Германия', 'Бавария']",Zotler,Zotler,['Верховое брожение'],Средний,0.5,../data/images/Zotler-Hefeweizen-Hell.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['фруктовый', 'солод', 'насыщенный/интенсивный', 'приятный', 'сладковатый', 'бархатистый', 'хмель']","['птица', 'свинина', 'сыры', 'закуски', 'овощи', 'жареная рыба', 'снэки']",Zotler Zotler
Rakovnik-Bakalar-Tmave-Vycepni,"['Темное', 'Фильтрованное']","['Лагер', 'Мюнхенский Темный Лагер', 'Немецкий Лагер']",['Чехия'],Rakovnik,Bakalar,['Низовое брожение'],Легкий,0.5,../data/images/Rakovnik-Bakalar-Tmave-Vycepni.jpg,Средний,"['ячмень', 'хмель']","['насыщенный/интенсивный', 'горьковатый', 'хмель']","['мясо', 'закуски', 'копчености', 'снэки']",Rakovnik Bakalar
Straffe-Hendrik-Quadrupel-750,['Очень тёмное'],"['Эль', 'Бельгийский/Французский Эль', 'Квадрупель']",['Бельгия'],De Halve Maan,Straffe Hendrik,['Верховое брожение'],Крепкий,0.75,../data/images/Straffe-Hendrik-Quadrupel-750.jpg,Дорогой,"['ячмень', 'хмель']","['фруктовый', 'шоколад', 'специи/пряности', 'карамель', 'апельсин', 'хлеб', 'солод', 'ирис', 'долгий/продолжительный', 'цедра']","['мясо', 'дичь', 'сыры', 'говядина', 'дижестив', 'копчености']",De Halve Maan Straffe Hendrik
Konigsbacher-Weizen-in-can,"['Средне-светлое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']","['Германия', 'Рейнгау']",Bitburger Braugruppe,Konigsbacher,['Верховое брожение'],Средний,0.5,../data/images/Konigsbacher-Weizen-in-can.jpg,Дешевый,"['ячмень', 'хмель', 'пшеница']","['специи/пряности', 'банан', 'хлеб', 'мягкий']","['птица', 'рыба', 'закуски', 'немецкая кухня']",Bitburger Braugruppe Konigsbacher
Paulaner-Original-Munchner-Hell-in-can,"['Светлое', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Мюнхенский Яркий/Светлый Лагер']","['Германия', 'Бавария']",Paulaner,Paulaner,['Низовое брожение'],Средний,0.5,../data/images/Paulaner-Original-Munchner-Hell-in-can.jpg,Средний,"['хмель', 'ячмень']","['свежий', 'травы', 'мед', 'сухой', 'солод', 'мягкий', 'тонкий', 'хмель']","['рыба', 'белое мясо', 'свинина', 'салат', 'сыры', 'голубой сыр', 'моллюски', 'немецкая кухня']",Paulaner Paulaner
Rakovnik-Bakalar-Svetle-Vycepni,"['Светлое', 'Фильтрованное']","['Лагер', 'Чешский Лагер', 'Чешский Пилснер']",['Чехия'],Rakovnik,Bakalar,['Низовое брожение'],Средний,0.5,../data/images/Rakovnik-Bakalar-Svetle-Vycepni.jpg,Средний,"['хмель', 'ячмень']","['специи/пряности', 'травы', 'солод', 'гармоничный']","['сыры', 'азиатская кухня', 'голубой сыр', 'китайская кухня', 'японская кухня', 'карри', 'индийская кухня']",Rakovnik Bakalar
Jever-Fun-Non-Alcoholic,['Светлое'],"['Лагер', 'Европейский Лагер', 'Европейский Светлый Лагер']",['Германия'],Radeberger Gruppe,Jever Fun,['Низовое брожение'],Легкий,0.33,../data/images/Jever-Fun-Non-Alcoholic.jpg,Средний,['ячмень'],"['травы', 'терпкий', 'освежающий']","['курица', 'пицца', 'закуски', 'картофель', 'гамбургер']",Radeberger Gruppe Jever Fun
